YYYY MM DD hh mm WS_mean_10_mean Rad_mean 
    Height 10 0 
    Units m/s W/m2 
2011 01 27 17 55 4.0370E+01 -2.2099E+03 
2011 01 27 18 25 4.0370E+01 -INF 
2011 01 27 18 35 4.0370E+01 -INF 
2011 01 27 18 45 4.0370E+01 -INF 
2011 01 27 18 55 4.0370E+01 -INF 
2011 01 27 19 05 4.0370E+01 -2.2099E+03 
2011 01 27 19 15 4.0370E+01 -INF 
2011 01 27 19 25 4.0370E+01 -INF 
2011 01 27 19 35 4.0370E+01 -INF 
2011 01 27 19 45 4.0370E+01 -INF 
2011 01 27 19 55 4.0370E+01 -INF 
2011 01 27 20 05 4.0370E+01 -INF 
2011 01 27 20 15 4.0370E+01 -INF 
2011 01 27 20 25 4.0370E+01 -INF 
2011 01 27 20 35 4.0370E+01 -INF 
2011 01 27 20 45 4.0370E+01 -INF 
2011 01 27 20 55 4.0370E+01 -INF 
2011 01 27 21 05 4.0370E+01 -INF 
2011 01 27 21 15 4.0370E+01 -INF 
2011 01 27 21 25 4.0370E+01 -INF 
2011 01 27 21 35 4.0370E+01 -INF 
2011 01 27 21 45 4.0370E+01 -INF 
2011 01 27 21 55 4.0370E+01 -INF 
2011 01 27 22 05 4.0370E+01 -INF 
2011 01 27 22 15 4.0370E+01 -INF 
2011 01 27 22 25 4.0370E+01 -INF 
2011 01 27 22 35 4.0370E+01 -INF 
2011 01 27 22 45 4.0370E+01 -INF 
2011 01 27 22 55 4.0370E+01 -INF 
2011 01 27 23 05 4.0370E+01 -INF 
2011 01 27 23 15 4.0370E+01 -INF 
2011 01 27 23 25 4.0370E+01 -INF 
2011 01 27 23 35 4.0370E+01 -INF 
2011 01 27 23 45 4.0370E+01 -INF 
2011 01 27 23 55 4.0370E+01 -INF 
2011 01 28 00 05 4.0370E+01 -INF 
2011 01 28 00 15 4.0370E+01 -INF 
2011 01 28 00 25 4.0370E+01 -INF 
2011 01 28 00 35 4.0370E+01 -INF 
2011 01 28 00 45 4.0370E+01 -INF 
2011 01 28 00 55 4.0370E+01 -INF 
2011 01 28 01 05 4.0370E+01 -INF 
2011 01 28 01 15 4.0370E+01 -INF 
2011 01 28 01 25 4.0370E+01 -INF 
2011 01 28 01 35 4.0370E+01 -INF 
2011 01 28 01 45 4.0370E+01 -INF 
2011 01 28 01 55 4.0370E+01 -INF 
2011 01 28 02 05 4.0370E+01 -INF 
2011 01 28 02 15 4.0370E+01 -INF 
2011 01 28 02 25 4.0370E+01 -INF 
2011 01 28 02 35 4.0370E+01 -INF 
2011 01 28 02 45 4.0370E+01 -INF 
2011 01 28 02 55 4.0370E+01 -INF 
2011 01 28 03 05 4.0370E+01 -INF 
2011 01 28 03 15 4.0370E+01 -INF 
2011 01 28 03 25 4.0370E+01 -INF 
2011 01 28 03 35 4.0370E+01 -INF 
2011 01 28 03 45 4.0370E+01 -INF 
2011 01 28 03 55 4.0370E+01 -INF 
2011 01 28 04 05 4.0370E+01 -INF 
2011 01 28 04 15 4.0370E+01 -INF 
2011 01 28 04 25 4.0370E+01 -INF 
2011 01 28 04 35 4.0370E+01 -INF 
2011 01 28 04 45 4.0370E+01 -INF 
2011 01 28 04 55 4.0370E+01 -INF 
2011 01 28 05 05 4.0370E+01 -INF 
2011 01 28 05 15 4.0370E+01 -INF 
